rep_key,team_key,month_key,date_key,target_amount_usd,revision_no,is_ramp_month
9,1,202401,20240101,67724.8,1,0
10,1,202401,20240101,67724.8,1,0
11,1,202401,20240101,67724.8,1,0
12,1,202401,20240101,67724.8,1,0
13,1,202401,20240101,67724.8,1,0
14,1,202401,20240101,67724.8,2,0
15,1,202401,20240101,67724.8,1,0
16,1,202401,20240101,67724.8,1,0
17,1,202401,20240101,67724.8,2,0
18,2,202401,20240101,35164.8,1,0
19,2,202401,20240101,35164.8,1,0
20,2,202401,20240101,35164.8,1,0
21,2,202401,20240101,35164.8,1,0
22,2,202401,20240101,35164.8,1,0
23,2,202401,20240101,35164.8,1,0
24,2,202401,20240101,35164.8,1,0
25,2,202401,20240101,35164.8,2,0
26,2,202401,20240101,35164.8,1,0
27,2,202401,20240101,35164.8,1,0
28,2,202401,20240101,35164.8,1,0
29,3,202401,20240101,39723.2,1,0
30,3,202401,20240101,39723.2,1,0
31,3,202401,20240101,39723.2,2,0
32,3,202401,20240101,39723.2,1,0
33,3,202401,20240101,39723.2,1,0
34,3,202401,20240101,39723.2,1,0
35,3,202401,20240101,39723.2,1,0
36,4,202401,20240101,102502.4,1,0
37,4,202401,20240101,102502.4,2,0
38,4,202401,20240101,102502.4,1,0
39,4,202401,20240101,102502.4,1,0
40,4,202401,20240101,102502.4,1,0
41,4,202401,20240101,102502.4,1,0
42,4,202401,20240101,102502.4,1,0
43,4,202401,20240101,102502.4,1,0
44,4,202401,20240101,102502.4,1,0
45,4,202401,20240101,102502.4,1,0
46,5,202401,20240101,53222.4,1,0
47,5,202401,20240101,53222.4,1,0
48,5,202401,20240101,53222.4,1,0
49,5,202401,20240101,53222.4,1,0
50,5,202401,20240101,53222.4,1,0
51,5,202401,20240101,53222.4,1,0
52,5,202401,20240101,53222.4,1,0
53,5,202401,20240101,53222.4,1,0
54,5,202401,20240101,53222.4,1,0
55,5,202401,20240101,53222.4,1,0
56,6,202401,20240101,108908.8,1,0
57,6,202401,20240101,108908.8,1,0
58,6,202401,20240101,108908.8,1,0
59,6,202401,20240101,108908.8,2,0
60,6,202401,20240101,108908.8,1,0
61,6,202401,20240101,108908.8,1,0
62,6,202401,20240101,108908.8,2,0
63,6,202401,20240101,108908.8,1,0
64,6,202401,20240101,108908.8,1,0
65,7,202401,20240101,63879.2,1,0
66,7,202401,20240101,63879.2,1,0
67,7,202401,20240101,63879.2,1,0
68,7,202401,20240101,63879.2,1,0
69,7,202401,20240101,63879.2,1,0
70,7,202401,20240101,63879.2,1,0
71,7,202401,20240101,63879.2,1,0
72,7,202401,20240101,63879.2,1,0
73,8,202401,20240101,38016.0,1,0
74,8,202401,20240101,38016.0,1,0
75,8,202401,20240101,38016.0,1,0
76,8,202401,20240101,38016.0,1,0
77,8,202401,20240101,38016.0,1,0
9,1,202402,20240201,73112.0,1,0
10,1,202402,20240201,73112.0,1,0
11,1,202402,20240201,73112.0,1,0
12,1,202402,20240201,73112.0,1,0
13,1,202402,20240201,73112.0,1,0
14,1,202402,20240201,73112.0,1,0
15,1,202402,20240201,73112.0,1,0
16,1,202402,20240201,73112.0,1,0
17,1,202402,20240201,73112.0,1,0
18,2,202402,20240201,37962.0,1,0
19,2,202402,20240201,37962.0,1,0
20,2,202402,20240201,37962.0,1,0
21,2,202402,20240201,37962.0,1,0
22,2,202402,20240201,37962.0,1,0
23,2,202402,20240201,37962.0,1,0
24,2,202402,20240201,37962.0,1,0
25,2,202402,20240201,37962.0,1,0
26,2,202402,20240201,37962.0,1,0
27,2,202402,20240201,37962.0,2,0
28,2,202402,20240201,37962.0,1,0
29,3,202402,20240201,42883.0,1,0
30,3,202402,20240201,42883.0,1,0
31,3,202402,20240201,42883.0,1,0
32,3,202402,20240201,42883.0,1,0
33,3,202402,20240201,42883.0,2,0
34,3,202402,20240201,42883.0,1,0
35,3,202402,20240201,42883.0,1,0
36,4,202402,20240201,110656.0,1,0
37,4,202402,20240201,110656.0,1,0
38,4,202402,20240201,110656.0,1,0
39,4,202402,20240201,110656.0,1,0
40,4,202402,20240201,110656.0,1,0
41,4,202402,20240201,110656.0,1,0
42,4,202402,20240201,110656.0,1,0
43,4,202402,20240201,110656.0,1,0
44,4,202402,20240201,110656.0,1,0
45,4,202402,20240201,110656.0,1,0
46,5,202402,20240201,57456.0,1,0
47,5,202402,20240201,57456.0,1,0
48,5,202402,20240201,57456.0,1,0
49,5,202402,20240201,57456.0,1,0
50,5,202402,20240201,57456.0,1,0
51,5,202402,20240201,57456.0,1,0
52,5,202402,20240201,57456.0,1,0
53,5,202402,20240201,57456.0,1,0
54,5,202402,20240201,57456.0,1,0
55,5,202402,20240201,57456.0,1,0
56,6,202402,20240201,117572.0,1,0
