country_code,month_key,date_key,year,plan,allocated_target,actual,gross_margin,active_reps,planned_headcount,commission,achievement,plan_achievement,variance_to_target,variance_to_plan,ytd_achievement,mom_growth,country_rank
AE,202401,20240101,2024,1491212.7999999998,1491212.8,1233117.67,514787.67000000004,17,17,9687.091925,0.8269226699234341,0.8269226699234342,-258095.13000000012,-258095.1299999999,0.8269226699234341,,4.0
AE,202402,20240201,2024,1609832.0,1609832.0,1636419.4899999998,683731.99,17,17,15211.720650000001,1.0165156923206893,1.0165156923206893,26587.489999999758,26587.489999999758,0.9253452771788399,0.3270586658611419,4.0
AE,202403,20240301,2024,1694560.0,1498210.0,1506766.85,601790.85,15,17,13042.366775,1.0057113822494845,0.8891788133792844,8556.850000000093,-187793.1499999999,0.9515245839391199,-0.07922946456718118,2.0
AE,202404,20240401,2024,1694560.0,1498210.0,1606942.75,652293.25,15,17,11377.820075,1.0725751062935103,0.948294985128883,108732.75,-87617.25,0.9812679459830584,0.06648400845824283,1.0
AE,202405,20240501,2024,1694560.0,1454656.0,1497331.82,640831.82,15,17,12367.614150000001,1.0293373966078578,0.8836109786611274,42675.820000000065,-197228.17999999993,0.9905268702799351,-0.06821084945309965,3.0
AE,202406,20240601,2024,1762342.4000000001,1537903.64,2132992.9,900756.9,17,17,24153.139024999997,1.3869483396241913,1.2103169622429784,595089.26,370650.49999999977,1.0575957791374213,0.42452920021428503,1.0
AE,202407,20240701,2024,1609832.0,1534201.55,1491821.49,635384.99,17,17,13271.5473,0.9723764716571952,0.9266938972513902,-42380.060000000056,-118010.51000000001,1.045289603257018,-0.30059706715385687,3.0
AE,202408,20240801,2024,1558995.2000000002,1531898.9,1258501.7999999998,527831.8,17,17,9645.4921,0.8215305853408471,0.8072518760801827,-273397.1000000001,-300493.4000000004,1.017091785571479,-0.15639920162297713,4.0
AE,202409,20240901,2024,1694560.0,1694560.0,1577583.69,633156.69,17,17,14851.511424999999,0.9309695083089415,0.9309695083089415,-116976.31000000006,-116976.31000000006,1.006555168262152,0.25354106764090456,4.0
AE,202410,20241001,2024,1762342.4000000001,1762342.4,1760964.36,732161.36,17,17,15024.604225,0.9992180634137839,0.9992180634137838,-1378.0399999998044,-1378.0400000000373,1.0057269822398422,0.11624148446920123,3.0
AE,202411,20241101,2024,1830124.7999999998,1830124.7999999998,2039942.59,873554.09,17,17,19517.8629,1.1146467115248098,1.1146467115248098,209817.79000000027,209817.79000000027,1.017154773314827,0.15842355264929947,2.0
