team_key,month_key,date_key,planned_headcount,plan_amount_usd
1,202401,20240101,9,609523.2
1,202402,20240201,9,658008.0
1,202403,20240301,9,692640.0
1,202404,20240401,9,692640.0
1,202405,20240501,9,692640.0
1,202406,20240601,9,720345.6
1,202407,20240701,9,658008.0
1,202408,20240801,9,637228.8
1,202409,20240901,9,692640.0
1,202410,20241001,9,720345.6
1,202411,20241101,9,748051.2
1,202412,20241201,9,789609.6
1,202501,20250101,9,700951.68
1,202502,20250201,9,756709.2
1,202503,20250301,9,796536.0
1,202504,20250401,9,796536.0
1,202505,20250501,9,796536.0
1,202506,20250601,9,828397.44
1,202507,20250701,9,756709.2
1,202508,20250801,9,732813.12
1,202509,20250901,9,796536.0
1,202510,20251001,9,828397.44
1,202511,20251101,9,860258.88
1,202512,20251201,9,908051.04
2,202401,20240101,11,386812.8
2,202402,20240201,11,417582.0
2,202403,20240301,11,439560.0
2,202404,20240401,11,439560.0
2,202405,20240501,11,439560.0
2,202406,20240601,11,457142.4
2,202407,20240701,11,417582.0
2,202408,20240801,11,404395.2
2,202409,20240901,11,439560.0
2,202410,20241001,11,457142.4
2,202411,20241101,11,474724.8
2,202412,20241201,11,501098.4
2,202501,20250101,12,485274.24
2,202502,20250201,12,523875.6
2,202503,20250301,12,551448.0
2,202504,20250401,12,551448.0
2,202505,20250501,12,551448.0
2,202506,20250601,12,573505.92
2,202507,20250701,12,523875.6
2,202508,20250801,12,507332.16
2,202509,20250901,12,551448.0
2,202510,20251001,12,573505.92
2,202511,20251101,12,595563.84
2,202512,20251201,12,628650.72
3,202401,20240101,7,278062.4
3,202402,20240201,7,300181.0
3,202403,20240301,7,315980.0
3,202404,20240401,7,315980.0
3,202405,20240501,7,315980.0
3,202406,20240601,7,328619.2
3,202407,20240701,7,300181.0
3,202408,20240801,7,290701.6
3,202409,20240901,7,315980.0
3,202410,20241001,7,328619.2
3,202411,20241101,7,341258.4
3,202412,20241201,7,360217.2
3,202501,20250101,7,319771.76
3,202502,20250201,7,345208.15
3,202503,20250301,7,363377.0
3,202504,20250401,7,363377.0
3,202505,20250501,7,363377.0
3,202506,20250601,7,377912.08
3,202507,20250701,7,345208.15
3,202508,20250801,7,334306.84
3,202509,20250901,7,363377.0
3,202510,20251001,7,377912.08
3,202511,20251101,7,392447.16
3,202512,20251201,7,414249.78
4,202401,20240101,10,1025024.0
4,202402,20240201,10,1106560.0
4,202403,20240301,10,1164800.0
4,202404,20240401,10,1164800.0
4,202405,20240501,10,1164800.0
4,202406,20240601,10,1211392.0
4,202407,20240701,10,1106560.0
4,202408,20240801,10,1071616.0
4,202409,20240901,10,1164800.0
4,202410,20241001,10,1211392.0
4,202411,20241101,10,1257984.0
4,202412,20241201,10,1327872.0
4,202501,20250101,11,1296655.36
4,202502,20250201,11,1399798.4
4,202503,20250301,11,1473472.0
4,202504,20250401,11,1473472.0
4,202505,20250501,11,1473472.0
4,202506,20250601,11,1532410.88
4,202507,20250701,11,1399798.4
4,202508,20250801,11,1355594.24
4,202509,20250901,11,1473472.0
4,202510,20251001,11,1532410.88
4,202511,20251101,11,1591349.76
